Feature,Index,Score
AATS7i,118,0.01626911791512191
ATSC0e,156,0.012933970219390373
AATS0s,120,0.011658109173753713
AATSC4i,241,0.011311296588600282
AATSC5e,224,0.010675442553096198
naAromAtom,5,0.009462804291221896
AATSC4c,196,0.009289661383567278
MATS7e,285,0.008973808287286927
AATSC8e,227,0.008735567095018455
AATSC7s,253,0.008273435772978444
AATSC8s,254,0.008148438740299163
AATS2s,122,0.00805297749521617
AATSC4v,214,0.007997509163125145
AATSC2s,248,0.007827203813847156
AATSC6c,198,0.007749128638785368
AATS8p,110,0.007721702113226702
ATS5v,35,0.007331922683413926
ATSC0s,183,0.007103416785559983
AATSC3p,231,0.006896368386217252
AATSC7m,208,0.0068696335175137575
