Feature,Index,Score
AATS7i,118,0.011430604620993963
ATSC0e,156,0.010996046844887171
MATS7e,285,0.00922529055924861
AATSC4i,241,0.008453725646992845
AATS0s,120,0.008334423037000337
AATSC5e,224,0.008138450300340255
naAromAtom,5,0.007856930621596687
AATSC4p,232,0.0077406179636428886
AATSC5p,233,0.007511475881486422
MATS7m,269,0.007497000300551876
AATSC8e,227,0.007226472930851789
AATSC6c,198,0.007165406294273607
AATSC7s,253,0.007079635611968186
AATSC4c,196,0.007017734590763397
AATS2s,122,0.006857502535129278
AATSC4v,214,0.006808335314607886
ATSC1p,166,0.006733823379688579
ATS5v,35,0.006697988954511592
ATSC7s,190,0.006415615940805797
AATSC3e,222,0.00639345014433904
