Feature,Index,Score
ATSC7s,190,0.01569684054510676
AATS7i,118,0.015544769268536157
AATS4i,115,0.012123173729389569
AATSC2e,221,0.012112046779567898
AATSC1p,229,0.01164668598974843
MATS1p,287,0.011597317342233782
ATSC7v,154,0.011441173849697218
AATS0s,120,0.011188915332150344
ATS4s,70,0.010455850997833199
MATS6e,284,0.009601686791845419
AATSC4s,250,0.009527778005499062
AATSC1e,220,0.009454418608609716
AATSC0i,237,0.009442322098325805
AATSC1v,211,0.009141006739847829
AATSC1s,247,0.00861049476449287
MATS3e,281,0.00829701296167853
ATSC8e,164,0.00819491133566219
ATS7e,46,0.007280038685159489
ATS5i,62,0.007199433037549687
AATSC7e,226,0.006946928524261979
